root@comp3134winter2024:~# tcpdump -i eth0 port 22
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
22:31:25.063127 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 3493974864:3493974956, ack 3309657429, win 501, options [nop,nop,TS val 3432284524 ecr 244478669], length 92
22:31:25.580703 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 47812:48064, ack 1, win 501, options [nop,nop,TS val 3432285042 ecr 244479117], length 252
22:31:25.580743 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 48064:48100, ack 1, win 501, options [nop,nop,TS val 3432285042 ecr 244479117], length 36
22:31:25.580807 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 48100:48352, ack 1, win 501, options [nop,nop,TS val 3432285042 ecr 244479117], length 252
22:31:25.580846 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 48352:48388, ack 1, win 501, options [nop,nop,TS val 3432285042 ecr 244479117], length 36
22:31:25.580927 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 48388:48856, ack 1, win 501, options [nop,nop,TS val 3432285042 ecr 244479117], length 468
22:31:25.580993 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 48856:49324, ack 1, win 501, options [nop,nop,TS val 3432285042 ecr 244479117], length 468
22:31:25.581058 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 49324:49792, ack 1, win 501, options [nop,nop,TS val 3432285042 ecr 244479117], length 468
22:31:25.581123 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 49792:50260, ack 1, win 501, options [nop,nop,TS val 3432285042 ecr 244479117], length 468
22:31:25.581189 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 50260:50728, ack 1, win 501, options [nop,nop,TS val 3432285042 ecr 244479117], length 468
22:31:25.581253 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 50728:51196, ack 1, win 501, options [nop,nop,TS val 3432285042 ecr 244479117], length 468
22:31:25.581317 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 51196:51664, ack 1, win 501, options [nop,nop,TS val 3432285042 ecr 244479117], length 468
22:31:25.581365 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 51664:51916, ack 1, win 501, options [nop,nop,TS val 3432285042 ecr 244479117], length 252
22:31:25.581430 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 51916:52384, ack 1, win 501, options [nop,nop,TS val 3432285042 ecr 244479117], length 468
22:31:25.581535 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 52384:52852, ack 1, win 501, options [nop,nop,TS val 3432285043 ecr 244479117], length 468
^C
352 packets captured
456 packets received by filter
0 packets dropped by kernel
root@comp3134winter2024:~# 
